Tissue.num,Species,Tissue.type,Country,State,Population,Preparator.num,Voucher.num,Sex,Song Type,Latitude,Longitude,plate
B00907,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#2,609395,M,EASTERN,48.564121,-102.437007,1
B00908,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#4,609397,M,EASTERN,48.564121,-102.437007,1
B00909,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#10,609403,M,EASTERN,48.564121,-102.437007,1
B00910,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#5,609398,M,EASTERN,48.564121,-102.437007,1
B00911,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#8,609401,M,EASTERN,48.564121,-102.437007,1
B00912,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#6,609399,M,EASTERN,48.564121,-102.437007,1
B00913,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#1,609394,M,EASTERN,48.564121,-102.437007,1
B00914,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#11,609404,M,EASTERN,48.564121,-102.437007,1
B00915,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#9,609402,M,EASTERN,48.564121,-102.437007,1
B00916,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#7,609400,M,EASTERN,48.564121,-102.437007,1
B00922,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#15,609433,M,WESTERN,50.912843,-106.132121,1
B00927,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#19,609437,M,MIXED,50.912843,-106.132121,1
B00928,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#14,609432,M,WESTERN,50.912843,-106.132121,1
B00929,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#20,609438,M,WESTERN,50.912843,-106.132121,1
B00930,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#17,609435,M,WESTERN,50.912843,-106.132121,1
B00931,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#16,609434,M,WESTERN,50.912843,-106.132121,1
B00932,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#18,609411,M,EASTERN,48.564121,-102.437007,1
B00933,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#18,609436,M,MIXED,50.912843,-106.132121,1
B00934,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #9,609447,M,WESTERN,50.097827,-109.118558,1
B00935,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #11,609449,M,WESTERN,50.097827,-109.118558,1
B00936,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #2,609440,M,WESTERN,50.097827,-109.118558,1
B00937,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #8,609446,M,WESTERN,50.097827,-109.118558,1
B00938,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #18,609454,M,WESTERN,50.097827,-109.118558,1
B00939,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #5,609443,M,WESTERN,50.097827,-109.118558,1
B00940,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #6,609444,M,WESTERN,50.097827,-109.118558,1
B00941,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #16,609453,M,WESTERN,50.097827,-109.118558,1
B00942,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #3.5,609441,M,WESTERN,50.097827,-109.118558,1
B00943,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #12,609450,M,WESTERN,50.097827,-109.118558,1
B00944,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #4,609442,M,WESTERN,50.097827,-109.118558,1
B00945,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#3,609422,M,MIXED,50.912843,-106.132121,1
B00946,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#2,609421,M,EASTERN,50.912843,-106.132121,1
B00947,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#12,609430,M,EASTERN,50.912843,-106.132121,1
B00948,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #1,609414,M,EASTERN,50.329405,-106.606964,1
B00949,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#9,609428,M,MIXED,50.912843,-106.132121,1
B00950,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#6,609425,M,EASTERN,50.912843,-106.132121,1
B00951,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #6,609419,M,EASTERN,50.329405,-106.606964,1
B00952,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#4,609423,M,EASTERN,50.912843,-106.132121,1
B00953,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #1,609439,M,WESTERN,50.097827,-109.118558,1
B00954,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #15,609452,M,WESTERN,50.097827,-109.118558,1
B00955,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #4,609417,M,WESTERN,50.329405,-106.606964,1
B00956,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#10,609429,M,WESTERN,50.912843,-106.132121,1
B00957,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #5,609418,M,WESTERN,50.329405,-106.606964,1
B00958,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#1,609420,M,EASTERN,50.912843,-106.132121,1
B00959,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #13,609451,M,EASTERN,50.097827,-109.118558,1
B00960,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #10,609448,M,WESTERN,50.097827,-109.118558,1
B00961,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #3,609416,M,WESTERN,50.329405,-106.606964,1
B00962,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#13,609431,M,WESTERN,50.912843,-106.132121,1
B00963,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #7,609445,M,WESTERN,50.097827,-109.118558,1
B00964,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW #8,609427,M,WESTERN,50.912843,-106.132121,1
B00965,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #2,609415,M,EASTERN,50.329405,-106.606964,1
B00966,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#7,609426,M,WESTERN,50.912843,-106.132121,1
B00967,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#5,609424,M,EASTERN,50.912843,-106.132121,1
B02324,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,248,NONE,M,WESTERN,50.912843,-106.132121,1
B02325,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,249,NONE,M,WESTERN,50.912843,-106.132121,1
B02326,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,250,NONE,M,WESTERN,50.912843,-106.132121,1
B02327,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,251,NONE,M,WESTERN,50.912843,-106.132121,1
B02328,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,252,NONE,M,EASTERN,50.912843,-106.132121,1
B02330,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,254,NONE,M,WESTERN,50.912843,-106.132121,1
B02332,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,256,NONE,M,WESTERN,50.912843,-106.132121,1
B02333,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,191,NONE,M,WESTERN,50.912843,-106.132121,1
B02334,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,257,NONE,M,WESTERN,50.912843,-106.132121,1
B02336,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,259,NONE,M,EASTERN,50.912843,-106.132121,1
B02337,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,260,NONE,M,WESTERN,50.912843,-106.132121,1
B02338,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,261,NONE,M,WESTERN,50.912843,-106.132121,1
B02339,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,262,NONE,M,WESTERN,50.912843,-106.132121,1
B02340,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,263,NONE,M,EASTERN,50.912843,-106.132121,1
