Tissue.num,tissue.number.check,perc.east.buzz,PC1,PC2,Species,Tissue.Types,Country.Continent.Ocean,State.Province,Population,Preparator.No.,Voucher.No.,Sex,Song.Type,Latitude,Longitude,plate,western.qvalue,pops,eastern.qvalue
B00908,B00908,1,-14.5399647,0.133969206,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#4,609397,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00910,B00910,0.98,-14.37659072,-0.664741359,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#5,609398,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00911,B00911,1,-14.46132848,-1.257805502,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#8,609401,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00912,B00912,1,-14.67458313,-0.149128266,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#6,609399,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00913,B00913,1,-13.79074261,-2.830398581,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#1,609394,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00914,B00914,1,-14.72377187,-1.086857955,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#11,609404,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00915,B00915,0.91,-14.44399119,-0.899238655,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#9,609402,M,EASTERN,48.564121,-102.437007,1,0.020464,6,0.979536
B00916,B00916,1,-14.15145449,2.031729131,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#7,609400,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00927,B00927,0.12,-2.555054204,-1.144018167,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#19,609437,M,MIXED,50.912843,-106.132121,1,0.368784,4,0.631216
B00928,B00928,0,11.67352645,-1.611479554,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#14,609432,M,WESTERN,50.912843,-106.132121,1,0.99999,4,9.99999999995449e-06
B00929,B00929,NA,11.43031832,1.181324867,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#20,609438,M,WESTERN,50.912843,-106.132121,1,0.99999,4,9.99999999995449e-06
B00930,B00930,1,-14.15239669,-1.87432506,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#17,609435,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B00931,B00931,0,8.295511645,1.367247779,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#16,609434,M,WESTERN,50.912843,-106.132121,1,0.894787,4,0.105213
B00932,B00932,1,-13.82273284,-1.966848826,PALUSTRIS,tissue,UNITED STATES,NORTH DAKOTA,LOSTWOODS,LOSTWDS#18,609411,M,EASTERN,48.564121,-102.437007,1,1e-05,6,0.99999
B00934,B00934,0,12.16396859,-0.193896768,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #9,609447,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00935,B00935,0,12.63208437,-0.789640773,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #11,609449,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00936,B00936,0,10.24024434,-2.568964804,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #2,609440,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00937,B00937,0,12.11078838,-1.083096264,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #8,609446,M,WESTERN,50.097827,-109.118558,1,0.997739,2,0.00226099999999996
B00938,B00938,NA,10.53641528,-2.7967505,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #18,609454,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00939,B00939,0,11.61132669,-0.590485673,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #5,609443,M,WESTERN,50.097827,-109.118558,1,0.972032,2,0.027968
B00940,B00940,0,10.32448355,-2.0791531,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #6,609444,M,WESTERN,50.097827,-109.118558,1,0.946153,2,0.053847
